Time,Connectivity,Reachability
0.00,1,1.00
0.17,1,1.00
0.33,1,1.00
0.50,1,1.00
0.67,0,0.47
0.83,0,0.47
1.00,0,0.47
1.17,0,0.47
1.33,0,0.47
1.50,0,0.47
1.67,0,0.47
1.83,0,0.47
2.00,0,0.47
2.17,0,0.47
2.33,0,0.47
2.50,0,0.47
2.67,0,0.47
2.83,0,0.47
3.00,0,0.47
3.17,0,0.47
3.33,0,0.47
3.50,0,0.47
3.67,0,0.47
3.83,0,0.47
4.00,0,0.47
4.17,0,0.47
4.33,0,0.47
4.50,0,0.47
4.67,0,0.47
4.83,0,0.47
5.00,0,0.47
5.17,0,0.47
5.33,0,0.47
5.50,0,0.47
5.67,0,0.47
5.83,0,0.47
6.00,0,0.47
6.17,0,0.47
6.33,0,0.47
6.50,0,0.47
6.67,0,0.47
6.83,0,0.47
7.00,0,0.47
7.17,0,0.47
7.33,0,0.47
7.50,0,0.47
7.67,0,0.47
7.83,0,0.29
8.00,0,0.29
8.17,0,0.29
8.33,0,0.29
8.50,0,0.29
8.67,0,0.29
8.83,0,0.29
9.00,0,0.29
9.17,0,0.29
9.33,0,0.29
9.50,0,0.29
9.67,0,0.29
9.83,0,0.29
10.00,0,0.29
10.17,0,0.29
10.33,0,0.29
10.50,0,0.20
10.67,0,0.20
10.83,0,0.20
11.00,0,0.20
11.17,0,0.20
11.33,0,0.20
11.50,0,0.20
11.67,0,0.20
11.83,0,0.20
12.00,0,0.20
12.17,0,0.20
12.33,0,0.20
12.50,0,0.20
12.67,0,0.20
12.83,0,0.20
13.00,0,0.20
13.17,0,0.20
13.33,0,0.20
13.50,0,0.20
13.67,0,0.20
13.83,0,0.20
14.00,0,0.20
14.17,0,0.20
14.33,0,0.20
14.50,0,0.20
14.67,0,0.20
14.83,0,0.20
15.00,0,0.20
15.17,0,0.20
15.33,0,0.20
15.50,0,0.20
15.67,0,0.20
15.83,0,0.20
16.00,0,0.20
16.17,0,0.20
16.33,0,0.20
16.50,0,0.20
16.67,0,0.20
16.83,0,0.20
17.00,0,0.20
17.17,0,0.20
17.33,0,0.20
17.50,0,0.20
17.67,0,0.20
17.83,0,0.20
18.00,0,0.20
18.17,0,0.20
18.33,0,0.20
18.50,0,0.20
18.67,0,0.20
18.83,0,0.20
19.00,0,0.20
19.17,0,0.20
19.33,0,0.38
19.50,0,0.64
19.67,1,1.00
19.83,1,1.00
20.00,1,1.00
20.00,1,1.00
20.17,1,1.00
20.33,1,1.00
20.50,0,0.80
20.67,0,0.80
20.83,0,0.80
21.00,0,0.80
21.17,0,0.80
21.33,0,0.80
21.50,0,0.80
21.67,0,0.80
21.83,0,0.80
22.00,0,0.80
22.17,0,0.80
22.33,0,0.80
22.50,0,0.80
22.67,0,0.80
22.83,0,0.80
23.00,0,0.49
23.17,0,0.49
23.33,0,0.49
23.50,0,0.49
23.67,0,0.49
23.83,0,0.27
24.00,0,0.27
24.17,0,0.27
24.33,0,0.27
24.50,0,0.27
24.67,0,0.27
24.83,0,0.27
25.00,0,0.27
25.17,0,0.27
25.33,0,0.27
25.50,0,0.27
25.67,0,0.27
25.83,0,0.27
26.00,0,0.27
26.17,0,0.27
26.33,0,0.27
26.50,0,0.27
26.67,0,0.27
26.83,0,0.27
27.00,0,0.27
27.17,0,0.27
27.33,0,0.27
27.50,0,0.27
27.67,0,0.27
27.83,0,0.27
28.00,0,0.27
28.17,0,0.27
28.33,0,0.27
28.50,0,0.27
28.67,0,0.27
28.83,0,0.27
29.00,0,0.27
29.17,0,0.27
29.33,0,0.27
29.50,0,0.27
29.67,0,0.27
29.83,0,0.27
30.00,0,0.27
30.17,0,0.27
30.33,0,0.27
30.50,0,0.27
30.67,0,0.27
30.83,0,0.27
31.00,0,0.27
31.17,0,0.27
31.33,0,0.27
31.50,0,0.27
31.67,0,0.27
31.83,0,0.27
32.00,0,0.27
32.17,0,0.27
32.33,0,0.27
32.50,0,0.27
32.67,0,0.27
32.83,0,0.27
33.00,0,0.27
33.17,0,0.27
33.33,0,0.27
33.50,0,0.27
33.67,0,0.27
33.83,0,0.27
34.00,0,0.27
34.17,0,0.27
34.33,0,0.27
34.50,0,0.27
34.67,0,0.27
34.83,0,0.27
35.00,0,0.27
35.17,0,0.27
35.33,0,0.27
35.50,0,0.27
35.67,0,0.27
35.83,0,0.27
36.00,0,0.27
36.17,0,0.27
36.33,0,0.49
36.50,0,0.49
36.67,0,0.49
36.83,0,0.49
37.00,0,0.49
37.17,0,0.49
37.33,0,0.49
37.50,0,0.49
37.67,0,0.49
37.83,0,0.49
38.00,0,0.49
38.17,0,0.49
38.33,0,0.49
38.50,0,0.49
