Time,Connectivity,Reachability
0.00,1,1.00
0.17,1,1.00
0.33,1,1.00
0.50,0,0.47
0.67,0,0.47
0.83,0,0.13
1.00,0,0.13
1.17,0,0.13
1.33,0,0.13
1.50,0,0.13
1.67,0,0.13
1.83,0,0.13
2.00,0,0.13
2.17,0,0.13
2.33,0,0.13
2.50,0,0.13
2.67,0,0.13
2.83,0,0.13
3.00,0,0.13
3.17,0,0.13
3.33,0,0.13
3.50,0,0.13
3.67,0,0.13
3.83,0,0.13
4.00,0,0.13
4.17,0,0.13
4.33,0,0.13
4.50,0,0.13
4.67,0,0.13
4.83,0,0.13
5.00,0,0.13
5.17,0,0.13
5.33,0,0.13
5.50,0,0.13
5.67,0,0.13
5.83,0,0.13
6.00,0,0.27
6.17,0,0.27
6.33,0,0.27
6.50,0,0.27
6.67,0,0.27
6.83,0,0.27
7.00,0,0.27
7.17,0,0.27
7.33,0,0.27
7.50,0,0.27
7.67,0,0.27
7.83,0,0.27
8.00,0,0.27
8.17,0,0.27
8.33,0,0.27
8.50,0,0.27
8.67,0,0.27
8.83,0,0.27
9.00,0,0.27
9.17,0,0.27
9.33,0,0.27
9.50,0,0.27
9.67,0,0.27
9.83,0,0.27
10.00,0,0.27
10.17,0,0.27
10.33,0,0.27
10.50,0,0.27
10.67,0,0.27
10.83,0,0.27
11.00,0,0.27
11.17,0,0.27
11.33,0,0.27
11.50,0,0.27
11.67,0,0.27
11.83,0,0.27
12.00,0,0.27
12.17,0,0.27
12.33,0,0.27
12.50,0,0.27
12.67,0,0.27
12.83,0,0.27
13.00,0,0.27
13.17,0,0.27
13.33,0,0.27
13.50,0,0.27
13.67,0,0.27
13.83,0,0.27
14.00,0,0.27
14.17,0,0.27
14.33,0,0.27
14.50,0,0.27
14.67,0,0.27
14.83,0,0.27
15.00,0,0.27
15.17,0,0.27
15.33,0,0.27
15.50,0,0.27
15.67,0,0.27
15.83,0,0.27
16.00,0,0.27
16.17,0,0.27
16.33,0,0.36
16.50,0,0.36
16.67,0,0.36
16.83,0,0.36
17.00,0,0.36
17.17,0,0.36
17.33,0,0.36
17.50,0,0.36
17.67,0,0.36
17.83,0,0.36
18.00,0,0.36
18.17,0,0.36
18.33,0,0.36
18.50,0,0.36
18.67,0,0.36
18.83,0,0.36
19.00,0,0.36
19.17,0,0.36
19.33,0,0.36
19.50,0,0.36
19.67,1,1.00
19.83,1,1.00
20.00,1,1.00
20.00,1,1.00
20.17,1,1.00
20.33,1,1.00
20.50,1,1.00
20.67,1,1.00
20.83,0,0.47
21.00,0,0.47
21.17,0,0.47
21.33,0,0.47
21.50,0,0.47
21.67,0,0.47
21.83,0,0.47
22.00,0,0.47
22.17,0,0.47
22.33,0,0.47
22.50,0,0.47
22.67,0,0.47
22.83,0,0.47
23.00,0,0.47
23.17,0,0.47
23.33,0,0.47
23.50,0,0.47
23.67,0,0.47
23.83,0,0.36
24.00,0,0.36
24.17,0,0.36
24.33,0,0.36
24.50,0,0.36
24.67,0,0.36
24.83,0,0.36
25.00,0,0.36
25.17,0,0.36
25.33,0,0.36
25.50,0,0.36
25.67,0,0.36
25.83,0,0.36
26.00,0,0.36
26.17,0,0.36
26.33,0,0.36
26.50,0,0.36
26.67,0,0.36
26.83,0,0.36
27.00,0,0.36
27.17,0,0.36
27.33,0,0.36
27.50,0,0.36
27.67,0,0.36
27.83,0,0.36
28.00,0,0.36
28.17,0,0.36
28.33,0,0.36
28.50,0,0.36
28.67,0,0.36
28.83,0,0.36
29.00,0,0.36
29.17,0,0.36
29.33,0,0.36
29.50,0,0.36
29.67,0,0.36
29.83,0,0.36
30.00,0,0.36
30.17,0,0.36
30.33,0,0.36
30.50,0,0.36
30.67,0,0.36
30.83,0,0.36
31.00,0,0.36
31.17,0,0.36
31.33,0,0.36
31.50,0,0.36
31.67,0,0.36
31.83,0,0.36
32.00,0,0.36
32.17,0,0.36
32.33,0,0.36
32.50,0,0.36
32.67,0,0.36
32.83,0,0.36
33.00,0,0.36
33.17,0,0.36
33.33,0,0.36
33.50,0,0.36
33.67,0,0.36
33.83,0,0.36
34.00,0,0.36
34.17,0,0.36
34.33,0,0.36
34.50,0,0.36
34.67,0,0.36
34.83,0,0.36
35.00,0,0.36
35.17,0,0.36
35.33,0,0.36
35.50,0,0.36
35.67,0,0.36
35.83,0,0.36
36.00,0,0.36
36.17,0,0.36
36.33,0,0.44
36.50,0,0.44
36.67,0,0.44
36.83,0,0.44
37.00,0,0.44
37.17,0,0.44
37.33,0,0.44
37.50,0,0.44
37.67,0,0.44
37.83,0,0.44
38.00,0,0.44
38.17,0,0.44
38.33,0,0.44
38.50,0,0.44
