# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
5,Bottleneck,No-Contraction,0.0,600.0,31,27,0.3903225806451613
5,Bottleneck,No-Contraction,0.0,200.0,12,0,1.0
5,Bottleneck,No-Contraction,0.0,721.1102550927978,37,0,1.0
5,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
5,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,23,0.6714285714285714
5,Bottleneck,No-Contraction,0.0,200.0,12,0,1.0
5,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,8,0.9238095238095237
5,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,13,0.8761904761904761
5,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
5,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.5499999999999999
5,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,13,0.7636363636363637
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,25,0.6428571428571429
5,Bottleneck,No-Contraction,0.0,1019.803902718557,51,11,0.9137254901960784
5,Bottleneck,No-Contraction,0.0,200.0,12,0,1.0
5,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,0,1.0
5,Bottleneck,No-Contraction,0.0,1216.552506059644,61,54,0.6459016393442623
5,Bottleneck,No-Contraction,0.0,1019.803902718557,51,0,1.0
5,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
5,Bottleneck,No-Contraction,0.0,721.1102550927978,37,28,0.5027027027027028
5,Bottleneck,No-Contraction,0.0,200.0,12,8,0.6
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,17,0.6484848484848484
5,Bottleneck,No-Contraction,0.0,721.1102550927978,37,1,0.9837837837837837
5,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
5,Bottleneck,No-Contraction,0.0,200.0,12,8,0.6
5,Bottleneck,No-Contraction,0.0,1019.803902718557,51,30,0.6470588235294118
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,23,0.7809523809523808
5,Bottleneck,No-Contraction,0.0,1019.803902718557,51,5,0.9607843137254902
5,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
5,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
5,Bottleneck,No-Contraction,0.0,400.0,22,14,0.6181818181818182
5,Bottleneck,No-Contraction,0.0,400.0,22,8,0.7818181818181817
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
5,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
5,Bottleneck,No-Contraction,0.0,848.5281374238571,43,16,0.7767441860465116
5,Bottleneck,No-Contraction,0.0,894.4271909999159,45,5,0.9555555555555556
5,Bottleneck,No-Contraction,0.0,200.0,12,8,0.6
5,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
5,Bottleneck,No-Contraction,0.0,721.1102550927978,37,7,0.9243243243243244
5,Bottleneck,No-Contraction,0.0,447.21359549995793,24,14,0.6333333333333333
5,Bottleneck,No-Contraction,0.0,721.1102550927978,37,21,0.6594594594594594
5,Bottleneck,No-Contraction,0.0,565.685424949238,30,22,0.56
5,Bottleneck,No-Contraction,0.0,400.0,22,16,0.5545454545454546
5,Bottleneck,No-Contraction,0.0,1000.0,51,5,0.9607843137254902
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,6,0.8909090909090909
5,Bottleneck,No-Contraction,0.0,447.21359549995793,24,6,0.9
5,Bottleneck,No-Contraction,0.0,1166.19037896906,58,0,1.0
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,15,0.7181818181818181
5,Bottleneck,No-Contraction,0.0,200.0,12,7,0.65
5,Bottleneck,No-Contraction,0.0,447.21359549995793,24,7,0.8833333333333333
5,Bottleneck,No-Contraction,0.0,200.0,12,0,1.0
5,Bottleneck,No-Contraction,0.0,447.21359549995793,24,6,0.9
5,Bottleneck,No-Contraction,0.0,800.0,41,7,0.9317073170731708
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,15,0.8571428571428571
5,Bottleneck,No-Contraction,0.0,200.0,12,7,0.65
5,Bottleneck,No-Contraction,0.0,632.4555320336759,33,24,0.709090909090909
5,Bottleneck,No-Contraction,0.0,1019.803902718557,51,20,0.8431372549019608
5,Bottleneck,No-Contraction,0.0,824.6211251235321,42,15,0.8571428571428571
5,Bottleneck,No-Contraction,0.0,1019.803902718557,51,25,0.803921568627451
5,Bottleneck,No-Contraction,0.0,1166.19037896906,58,55,0.5741379310344827
5,Bottleneck,No-Contraction,0.0,800.0,41,22,0.7853658536585366
5,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.45
5,Bottleneck,No-Contraction,0.0,565.685424949238,30,17,0.7533333333333334
5,Bottleneck,No-Contraction,0.0,565.685424949238,30,26,0.4733333333333334
