# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,861.6263691415206,44,0,1.0
5,Min Sum,Full-Contraction,1.0,1190.8131845707603,60,0,1.0
5,Min Sum,Full-Contraction,1.0,790.8131845707603,49,0,1.0
5,Min Sum,Full-Contraction,1.0,790.8131845707603,43,0,1.0
5,Min Sum,Full-Contraction,1.0,1411.4252383412613,71,0,1.0
5,Min Sum,Full-Contraction,1.0,861.6263691415206,44,0,1.0
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1411.4252383412613,71,0,1.0
5,Min Sum,Full-Contraction,1.0,1025.4559344635004,52,0,1.0
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,861.6263691415206,44,0,1.0
5,Min Sum,Full-Contraction,1.0,1216.6884927463002,61,0,1.0
5,Min Sum,Full-Contraction,1.0,1399.1106595235767,70,0,1.0
5,Min Sum,Full-Contraction,1.0,1130.5274119521964,57,0,1.0
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1470.8131845707603,73,0,1.0
5,Min Sum,Full-Contraction,1.0,1399.1106595235767,70,0,1.0
5,Min Sum,Full-Contraction,1.0,1562.8909204175527,78,0,1.0
5,Min Sum,Full-Contraction,1.0,1590.8131845707603,79,0,1.0
5,Min Sum,Full-Contraction,1.0,1390.8131845707603,70,0,1.0
5,Min Sum,Full-Contraction,1.0,1118.9992059341705,57,0,1.0
5,Min Sum,Full-Contraction,1.0,1190.8131845707603,60,0,1.0
5,Min Sum,Full-Contraction,1.0,832.8082094155959,43,0,1.0
5,Min Sum,Full-Contraction,1.0,706.476151587624,46,0,1.0
5,Min Sum,Full-Contraction,1.0,1190.8131845707603,60,0,1.0
5,Min Sum,Full-Contraction,1.0,1289.6496067141159,65,0,1.0
5,Min Sum,Full-Contraction,1.0,861.6263691415206,44,0,1.0
5,Min Sum,Full-Contraction,1.0,1390.8131845707603,70,0,1.0
5,Min Sum,Full-Contraction,1.0,1411.4252383412613,71,0,1.0
5,Min Sum,Full-Contraction,1.0,1130.5274119521964,57,0,1.0
5,Min Sum,Full-Contraction,1.0,1411.4252383412613,71,0,1.0
5,Min Sum,Full-Contraction,1.0,968.9581464537088,49,0,1.0
5,Min Sum,Full-Contraction,1.0,706.476151587624,46,0,1.0
5,Min Sum,Full-Contraction,1.0,832.8082094155959,43,0,1.0
5,Min Sum,Full-Contraction,1.0,1399.1106595235767,70,0,1.0
5,Min Sum,Full-Contraction,1.0,1470.8131845707603,73,0,1.0
5,Min Sum,Full-Contraction,1.0,1130.5274119521964,57,0,1.0
5,Min Sum,Full-Contraction,1.0,1390.8131845707603,70,0,1.0
5,Min Sum,Full-Contraction,1.0,832.8082094155959,43,0,1.0
5,Min Sum,Full-Contraction,1.0,832.8082094155959,43,0,1.0
5,Min Sum,Full-Contraction,1.0,1190.8131845707603,60,0,1.0
5,Min Sum,Full-Contraction,1.0,952.1861617512595,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1067.3517461546348,55,0,1.0
5,Min Sum,Full-Contraction,1.0,1005.5723529201466,52,0,1.0
5,Min Sum,Full-Contraction,1.0,952.1861617512595,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1319.5709242120925,67,0,1.0
5,Min Sum,Full-Contraction,1.0,952.1861617512595,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1005.5723529201466,52,0,1.0
5,Min Sum,Full-Contraction,1.0,1319.5709242120925,67,0,1.0
5,Min Sum,Full-Contraction,1.0,1005.5723529201466,52,0,1.0
5,Min Sum,Full-Contraction,1.0,758.946638440411,40,0,1.0
5,Min Sum,Full-Contraction,1.0,1005.5723529201466,52,0,1.0
5,Min Sum,Full-Contraction,1.0,758.946638440411,40,0,1.0
5,Min Sum,Full-Contraction,1.0,835.5434892598607,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1138.1971407585693,58,0,1.0
5,Min Sum,Full-Contraction,1.0,1178.720047544379,60,0,1.0
5,Min Sum,Full-Contraction,1.0,890.3179707079273,47,0,1.0
5,Min Sum,Full-Contraction,1.0,1005.5723529201466,52,0,1.0
5,Min Sum,Full-Contraction,1.0,1411.8541631241392,72,0,1.0
5,Min Sum,Full-Contraction,1.0,1138.1971407585693,60,0,1.0
5,Min Sum,Full-Contraction,1.0,1352.6516883916229,69,0,1.0
5,Min Sum,Full-Contraction,1.0,1460.5693034082099,74,0,1.0
5,Min Sum,Full-Contraction,1.0,1263.2089692916313,64,0,1.0
5,Min Sum,Full-Contraction,1.0,765.685424949238,49,0,1.0
5,Min Sum,Full-Contraction,1.0,1067.3517461546348,55,0,1.0
5,Min Sum,Full-Contraction,1.0,952.1861617512595,49,0,1.0
5,Min Sum,Full-Contraction,1.0,844.9806198638839,52,0,1.0
5,Min Sum,Full-Contraction,1.0,1067.3517461546348,55,0,1.0
5,Min Sum,Full-Contraction,1.0,1089.8920333845133,56,0,1.0
