# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.4291666666666667
5,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,16,0.827027027027027
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.5
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.4291666666666667
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,31,0.7047619047619047
5,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
5,Min Sum,No-Contraction,0.0,400.0,22,18,0.5090909090909091
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,30,0.6
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.47500000000000003
5,Min Sum,No-Contraction,0.0,282.842712474619,16,0,1.0
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.45
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,12,0.7333333333333334
5,Min Sum,No-Contraction,0.0,400.0,22,0,1.0
5,Min Sum,No-Contraction,0.0,632.4555320336759,33,25,0.36666666666666664
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,38,0.3380952380952381
5,Min Sum,No-Contraction,0.0,282.842712474619,16,0,1.0
5,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
5,Min Sum,No-Contraction,0.0,800.0,41,17,0.751219512195122
5,Min Sum,No-Contraction,0.0,632.4555320336759,33,0,1.0
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,15,0.7857142857142857
5,Min Sum,No-Contraction,0.0,1077.0329614269008,54,18,0.8
5,Min Sum,No-Contraction,0.0,894.4271909999159,45,24,0.7155555555555556
5,Min Sum,No-Contraction,0.0,400.0,22,8,0.7818181818181817
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,0,1.0
5,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
5,Min Sum,No-Contraction,0.0,400.0,22,18,0.4818181818181818
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,31,0.42162162162162165
5,Min Sum,No-Contraction,0.0,600.0,31,8,0.8451612903225806
5,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
5,Min Sum,No-Contraction,0.0,894.4271909999159,45,0,1.0
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,23,0.7809523809523808
5,Min Sum,No-Contraction,0.0,282.842712474619,16,0,1.0
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,38,0.39047619047619053
5,Min Sum,No-Contraction,0.0,400.0,22,0,1.0
5,Min Sum,No-Contraction,0.0,400.0,22,14,0.6181818181818182
5,Min Sum,No-Contraction,0.0,400.0,22,8,0.7818181818181817
5,Min Sum,No-Contraction,0.0,632.4555320336759,33,26,0.5272727272727273
5,Min Sum,No-Contraction,0.0,800.0,41,33,0.5121951219512195
5,Min Sum,No-Contraction,0.0,282.842712474619,16,0,1.0
5,Min Sum,No-Contraction,0.0,894.4271909999159,45,0,1.0
5,Min Sum,No-Contraction,0.0,200.0,12,8,0.6
5,Min Sum,No-Contraction,0.0,282.842712474619,16,9,0.625
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,10,0.8918918918918919
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,16,0.5916666666666667
5,Min Sum,No-Contraction,0.0,565.685424949238,30,18,0.76
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,11,0.8166666666666668
5,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.6875
5,Min Sum,No-Contraction,0.0,848.5281374238571,43,14,0.8279069767441861
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,16,0.6749999999999999
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,16,0.6
5,Min Sum,No-Contraction,0.0,848.5281374238571,43,13,0.7767441860465116
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,18,0.55
5,Min Sum,No-Contraction,0.0,200.0,12,7,0.65
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,6,0.9
5,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.47500000000000003
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,24,0.664864864864865
5,Min Sum,No-Contraction,0.0,800.0,41,28,0.5317073170731708
5,Min Sum,No-Contraction,0.0,200.0,12,7,0.65
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,0,1.0
5,Min Sum,No-Contraction,0.0,1000.0,51,2,0.9764705882352941
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,3,0.954054054054054
5,Min Sum,No-Contraction,0.0,632.4555320336759,33,19,0.6545454545454545
5,Min Sum,No-Contraction,0.0,894.4271909999159,45,0,1.0
5,Min Sum,No-Contraction,0.0,721.1102550927978,37,12,0.8702702702702704
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.47500000000000003
5,Min Sum,No-Contraction,0.0,565.685424949238,30,21,0.53
5,Min Sum,No-Contraction,0.0,282.842712474619,16,9,0.7375
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.30833333333333335
5,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.6133333333333333
5,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.44666666666666666
5,Min Sum,No-Contraction,0.0,282.842712474619,16,9,0.775
5,Min Sum,No-Contraction,0.0,824.6211251235321,42,38,0.38333333333333336
5,Min Sum,No-Contraction,0.0,848.5281374238571,43,28,0.5767441860465117
5,Min Sum,No-Contraction,0.0,200.0,12,5,0.75
5,Min Sum,No-Contraction,0.0,848.5281374238571,43,17,0.8418604651162791
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,2,0.9666666666666667
5,Min Sum,No-Contraction,0.0,447.21359549995793,24,14,0.6416666666666667
