# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
6,Bottleneck,Full-Contraction,1.0,1054.0925533894597,55,0,1.0
6,Bottleneck,Full-Contraction,1.0,1498.8715925022798,75,0,1.0
6,Bottleneck,Full-Contraction,1.0,1078.8111219362913,59,0,1.0
6,Bottleneck,Full-Contraction,1.0,1054.0925533894597,55,0,1.0
6,Bottleneck,Full-Contraction,1.0,1147.0821179526724,58,0,1.0
6,Bottleneck,Full-Contraction,1.0,1333.9608391554102,67,0,1.0
6,Bottleneck,Full-Contraction,1.0,1471.0330939284831,74,0,1.0
6,Bottleneck,Full-Contraction,1.0,1333.9608391554102,67,0,1.0
6,Bottleneck,Full-Contraction,1.0,1498.8715925022798,75,0,1.0
6,Bottleneck,Full-Contraction,1.0,1333.9608391554102,67,0,1.0
6,Bottleneck,Full-Contraction,1.0,1054.0925533894597,54,0,1.0
6,Bottleneck,Full-Contraction,1.0,1498.8715925022798,75,0,1.0
6,Bottleneck,Full-Contraction,1.0,1054.0925533894597,54,0,1.0
6,Bottleneck,Full-Contraction,1.0,1498.8715925022798,75,0,1.0
6,Bottleneck,Full-Contraction,1.0,1147.0821179526724,58,0,1.0
6,Bottleneck,Full-Contraction,1.0,1615.368124515697,81,0,1.0
6,Bottleneck,Full-Contraction,1.0,1227.8394780823512,69,0,1.0
6,Bottleneck,Full-Contraction,1.0,1188.6940514040368,67,0,1.0
6,Bottleneck,Full-Contraction,1.0,1028.1561559738268,59,0,1.0
6,Bottleneck,Full-Contraction,1.0,1054.0925533894597,54,0,1.0
6,Bottleneck,Full-Contraction,1.0,1498.8715925022798,75,0,1.0
6,Bottleneck,Full-Contraction,1.0,1471.0330939284831,74,0,1.0
6,Bottleneck,Full-Contraction,1.0,1078.8111219362913,55,0,1.0
6,Bottleneck,Full-Contraction,1.0,1078.8111219362913,55,0,1.0
6,Bottleneck,Full-Contraction,1.0,1412.7349604004912,71,0,1.0
6,Bottleneck,Full-Contraction,1.0,1333.9608391554102,69,0,1.0
6,Bottleneck,Full-Contraction,1.0,870.2339480609631,55,0,1.0
6,Bottleneck,Full-Contraction,1.0,1498.8715925022798,75,0,1.0
6,Bottleneck,Full-Contraction,1.0,1108.7607337319275,67,0,1.0
6,Bottleneck,Full-Contraction,1.0,1333.9608391554102,67,0,1.0
6,Bottleneck,Full-Contraction,1.0,1054.0925533894597,55,0,1.0
6,Bottleneck,Full-Contraction,1.0,1412.7349604004912,71,0,1.0
