# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
6,Bottleneck,No-Contraction,0.0,600.0,31,6,0.8838709677419354
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.5333333333333333
6,Bottleneck,No-Contraction,0.0,400.0,22,17,0.5363636363636364
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.5030303030303029
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,16,0.7904761904761906
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,13,0.8993464052287582
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,200.0,12,9,0.5777777777777778
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,282.842712474619,16,9,0.7
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.6363636363636364
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,31,0.7111111111111111
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,16,0.7253968253968254
6,Bottleneck,No-Contraction,0.0,600.0,31,11,0.8086021505376344
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,33,0.31351351351351353
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,16,0.7904761904761906
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,21,0.44166666666666665
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.46666666666666673
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,30,0.803921568627451
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,18,0.47878787878787876
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,31,0.590990990990991
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,18,0.5090909090909091
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,33,0.7529411764705882
6,Bottleneck,No-Contraction,0.0,600.0,31,9,0.9032258064516129
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,16,0.5666666666666667
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,24,0.8431372549019608
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,14,0.6060606060606061
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.5555555555555555
6,Bottleneck,No-Contraction,0.0,894.4271909999159,45,36,0.5333333333333333
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,29,0.4606060606060606
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.6363636363636364
6,Bottleneck,No-Contraction,0.0,1000.0,51,11,0.9281045751633987
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.5151515151515151
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,29,0.7070707070707071
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,29,0.5494949494949495
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,29,0.4774774774774775
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,37,0.5603174603174603
6,Bottleneck,No-Contraction,0.0,1166.19037896906,58,22,0.832183908045977
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,600.0,31,22,0.6903225806451613
6,Bottleneck,No-Contraction,0.0,400.0,22,17,0.5363636363636364
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.5454545454545454
6,Bottleneck,No-Contraction,0.0,400.0,22,17,0.5363636363636364
6,Bottleneck,No-Contraction,0.0,200.0,12,9,0.5611111111111111
6,Bottleneck,No-Contraction,0.0,800.0,41,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,15,0.7857142857142857
6,Bottleneck,No-Contraction,0.0,400.0,22,2,0.9515151515151515
6,Bottleneck,No-Contraction,0.0,894.4271909999159,45,28,0.7925925925925925
6,Bottleneck,No-Contraction,0.0,600.0,31,14,0.7075268817204301
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.4777777777777778
6,Bottleneck,No-Contraction,0.0,600.0,31,27,0.7096774193548387
6,Bottleneck,No-Contraction,0.0,800.0,41,21,0.7268292682926829
6,Bottleneck,No-Contraction,0.0,200.0,12,0,1.0
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.6222222222222222
6,Bottleneck,No-Contraction,0.0,800.0,41,20,0.8373983739837398
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.5222222222222223
6,Bottleneck,No-Contraction,0.0,600.0,31,11,0.8817204301075269
6,Bottleneck,No-Contraction,0.0,1131.370849898476,57,0,1.0
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,15,0.8484848484848485
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,15,0.7999999999999999
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,15,0.7714285714285714
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,5,0.9494949494949495
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,5,0.9494949494949495
6,Bottleneck,No-Contraction,0.0,600.0,31,20,0.7849462365591398
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,29,0.7070707070707071
6,Bottleneck,No-Contraction,0.0,600.0,31,20,0.7849462365591398
6,Bottleneck,No-Contraction,0.0,600.0,31,24,0.5870967741935483
6,Bottleneck,No-Contraction,0.0,894.4271909999159,45,20,0.7540740740740741
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,23,0.6746031746031745
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,15,0.7272727272727273
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,24,0.4222222222222222
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,15,0.8809523809523809
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,11,0.7805555555555556
6,Bottleneck,No-Contraction,0.0,200.0,12,5,0.75
6,Bottleneck,No-Contraction,0.0,400.0,22,2,0.9454545454545454
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,20,0.7979797979797979
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,5,0.9494949494949495
6,Bottleneck,No-Contraction,0.0,400.0,22,11,0.8333333333333333
6,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,12,0.7855855855855856
6,Bottleneck,No-Contraction,0.0,400.0,22,6,0.9090909090909091
6,Bottleneck,No-Contraction,0.0,400.0,22,11,0.8333333333333333
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,20,0.6363636363636364
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,1,0.990990990990991
6,Bottleneck,No-Contraction,0.0,200.0,12,2,0.9
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,800.0,41,5,0.9593495934959351
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.4686868686868687
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,23,0.5533333333333333
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,0,1.0
6,Bottleneck,No-Contraction,0.0,1131.370849898476,57,7,0.9590643274853801
6,Bottleneck,No-Contraction,0.0,848.5281374238571,43,40,0.49147286821705427
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,21,0.6918918918918919
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,16,0.6848484848484849
6,Bottleneck,No-Contraction,0.0,600.0,31,21,0.6322580645161291
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,20,0.6977777777777778
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,24,0.5511111111111112
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,29,0.5737373737373738
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,24,0.5488888888888889
6,Bottleneck,No-Contraction,0.0,600.0,31,9,0.9032258064516129
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,15,0.7676767676767676
6,Bottleneck,No-Contraction,0.0,600.0,31,0,1.0
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.6222222222222222
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,21,0.6181818181818183
6,Bottleneck,No-Contraction,0.0,200.0,12,0,1.0
6,Bottleneck,No-Contraction,0.0,800.0,41,5,0.9593495934959351
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,23,0.707936507936508
6,Bottleneck,No-Contraction,0.0,600.0,31,11,0.8817204301075269
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,20,0.7644444444444445
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,21,0.6828282828282828
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,17,0.5472222222222222
6,Bottleneck,No-Contraction,0.0,447.21359549995793,24,20,0.7222222222222222
6,Bottleneck,No-Contraction,0.0,800.0,41,2,0.9707317073170731
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,16,0.8383838383838383
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,26,0.5675675675675675
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,10,0.9453551912568305
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,8,0.9169398907103826
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,39,0.6568306010928963
6,Bottleneck,No-Contraction,0.0,1000.0,51,8,0.9006535947712418
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,22,0.722875816993464
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,13,0.8640522875816994
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1200.0,60,15,0.9166666666666666
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,32,0.6535947712418301
6,Bottleneck,No-Contraction,0.0,282.842712474619,16,10,0.6916666666666667
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,32,0.6688524590163933
6,Bottleneck,No-Contraction,0.0,848.5281374238571,43,19,0.7968992248062016
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,37,0.5365079365079365
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,37,0.6026143790849673
6,Bottleneck,No-Contraction,0.0,800.0,41,19,0.7219512195121952
6,Bottleneck,No-Contraction,0.0,800.0,41,18,0.7365853658536585
6,Bottleneck,No-Contraction,0.0,721.1102550927978,37,1,0.990990990990991
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,200.0,12,8,0.5777777777777778
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,24,0.722875816993464
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,27,0.7095238095238096
6,Bottleneck,No-Contraction,0.0,1000.0,51,20,0.869281045751634
6,Bottleneck,No-Contraction,0.0,800.0,41,18,0.7365853658536585
6,Bottleneck,No-Contraction,0.0,565.685424949238,30,26,0.48000000000000004
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,632.4555320336759,33,30,0.45454545454545453
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,2,0.9841269841269842
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,10,0.9453551912568305
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,15,0.9180327868852459
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,32,0.6169934640522876
6,Bottleneck,No-Contraction,0.0,1019.803902718557,51,0,1.0
6,Bottleneck,No-Contraction,0.0,1200.0,60,16,0.888888888888889
6,Bottleneck,No-Contraction,0.0,848.5281374238571,43,30,0.6062015503875969
6,Bottleneck,No-Contraction,0.0,848.5281374238571,43,37,0.5116279069767442
6,Bottleneck,No-Contraction,0.0,894.4271909999159,45,37,0.6059259259259259
6,Bottleneck,No-Contraction,0.0,894.4271909999159,45,12,0.8548148148148148
6,Bottleneck,No-Contraction,0.0,200.0,12,8,0.5444444444444444
6,Bottleneck,No-Contraction,0.0,1216.552506059644,61,32,0.6688524590163933
6,Bottleneck,No-Contraction,0.0,1000.0,51,0,1.0
6,Bottleneck,No-Contraction,0.0,824.6211251235321,42,37,0.4936507936507937
6,Bottleneck,No-Contraction,0.0,1200.0,60,0,1.0
6,Bottleneck,No-Contraction,0.0,1000.0,51,2,0.9869281045751634
6,Bottleneck,No-Contraction,0.0,400.0,22,0,1.0
