# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,10,0.7777777777777778
6,Min Sum,No-Contraction,0.0,848.5281374238571,43,40,0.3922480620155039
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.5333333333333333
6,Min Sum,No-Contraction,0.0,400.0,22,0,1.0
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,30,0.5030303030303029
6,Min Sum,No-Contraction,0.0,565.685424949238,30,22,0.5399999999999999
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,30,0.5135135135135135
6,Min Sum,No-Contraction,0.0,565.685424949238,30,21,0.5933333333333334
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,33,0.46306306306306305
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,29,0.36767676767676766
6,Min Sum,No-Contraction,0.0,200.0,12,9,0.5777777777777778
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,34,0.42698412698412697
6,Min Sum,No-Contraction,0.0,282.842712474619,16,13,0.5291666666666667
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,31,0.49523809523809526
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,30,0.6363636363636364
6,Min Sum,No-Contraction,0.0,848.5281374238571,43,34,0.5255813953488372
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,39,0.37142857142857144
6,Min Sum,No-Contraction,0.0,565.685424949238,30,18,0.6133333333333333
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,21,0.7454545454545455
6,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.4666666666666667
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,33,0.4522522522522523
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,30,0.5135135135135135
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.3972222222222222
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,15,0.7000000000000001
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,23,0.6684684684684685
6,Min Sum,No-Contraction,0.0,800.0,41,30,0.6000000000000001
6,Min Sum,No-Contraction,0.0,282.842712474619,16,12,0.43333333333333335
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,33,0.5063492063492063
6,Min Sum,No-Contraction,0.0,565.685424949238,30,21,0.5733333333333334
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,29,0.48282828282828283
6,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.5
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,28,0.69009009009009
6,Min Sum,No-Contraction,0.0,282.842712474619,16,7,0.8541666666666666
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,16,0.5222222222222223
6,Min Sum,No-Contraction,0.0,721.1102550927978,37,29,0.42342342342342343
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,29,0.6079365079365079
6,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.5375
6,Min Sum,No-Contraction,0.0,800.0,41,28,0.6357723577235772
6,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.4022222222222222
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,0,1.0
6,Min Sum,No-Contraction,0.0,600.0,31,26,0.45376344086021503
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,30,0.47878787878787876
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,30,0.6363636363636364
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,18,0.6848484848484849
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.5
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,30,0.6363636363636364
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,29,0.5131313131313131
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,29,0.3878787878787878
6,Min Sum,No-Contraction,0.0,800.0,41,23,0.7008130081300813
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,29,0.593939393939394
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,34,0.4825396825396825
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,18,0.5166666666666667
6,Min Sum,No-Contraction,0.0,400.0,22,0,1.0
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.5388888888888889
6,Min Sum,No-Contraction,0.0,400.0,22,0,1.0
6,Min Sum,No-Contraction,0.0,200.0,12,9,0.5611111111111111
6,Min Sum,No-Contraction,0.0,800.0,41,24,0.6617886178861788
6,Min Sum,No-Contraction,0.0,824.6211251235321,42,39,0.5190476190476191
6,Min Sum,No-Contraction,0.0,400.0,22,0,1.0
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,27,0.5131313131313131
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,19,0.48611111111111116
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,17,0.5111111111111112
6,Min Sum,No-Contraction,0.0,600.0,31,28,0.432258064516129
6,Min Sum,No-Contraction,0.0,800.0,41,24,0.6878048780487804
6,Min Sum,No-Contraction,0.0,200.0,12,0,1.0
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.3416666666666666
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,17,0.7191919191919193
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.4861111111111111
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,13,0.6583333333333333
6,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.6533333333333332
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,20,0.5499999999999999
6,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.42888888888888893
6,Min Sum,No-Contraction,0.0,282.842712474619,16,8,0.7
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,8,0.7944444444444444
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,18,0.5499999999999999
6,Min Sum,No-Contraction,0.0,400.0,22,18,0.5333333333333333
6,Min Sum,No-Contraction,0.0,600.0,31,17,0.6064516129032258
6,Min Sum,No-Contraction,0.0,400.0,22,7,0.8303030303030302
6,Min Sum,No-Contraction,0.0,600.0,31,14,0.7161290322580645
6,Min Sum,No-Contraction,0.0,565.685424949238,30,26,0.551111111111111
6,Min Sum,No-Contraction,0.0,565.685424949238,30,18,0.6222222222222222
6,Min Sum,No-Contraction,0.0,600.0,31,24,0.7419354838709677
6,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.5244444444444445
6,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.6133333333333333
6,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.5958333333333333
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,9,0.775
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,18,0.47222222222222227
6,Min Sum,No-Contraction,0.0,200.0,12,5,0.75
6,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.5458333333333333
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,24,0.593939393939394
6,Min Sum,No-Contraction,0.0,600.0,31,28,0.5010752688172043
6,Min Sum,No-Contraction,0.0,282.842712474619,16,6,0.775
6,Min Sum,No-Contraction,0.0,600.0,31,21,0.6043010752688173
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,21,0.40277777777777773
6,Min Sum,No-Contraction,0.0,400.0,22,6,0.9090909090909091
6,Min Sum,No-Contraction,0.0,282.842712474619,16,11,0.5916666666666667
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,17,0.6727272727272727
6,Min Sum,No-Contraction,0.0,400.0,22,7,0.8696969696969696
6,Min Sum,No-Contraction,0.0,200.0,12,5,0.861111111111111
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,25,0.5696969696969697
6,Min Sum,No-Contraction,0.0,600.0,31,26,0.4817204301075269
6,Min Sum,No-Contraction,0.0,400.0,22,5,0.8636363636363636
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,20,0.6363636363636364
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,14,0.65
6,Min Sum,No-Contraction,0.0,282.842712474619,16,10,0.6583333333333333
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,18,0.5055555555555555
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,27,0.5474747474747474
6,Min Sum,No-Contraction,0.0,565.685424949238,30,24,0.56
6,Min Sum,No-Contraction,0.0,565.685424949238,30,22,0.5555555555555556
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,17,0.49722222222222223
6,Min Sum,No-Contraction,0.0,565.685424949238,30,22,0.5711111111111111
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,11,0.725
6,Min Sum,No-Contraction,0.0,447.21359549995793,24,18,0.7000000000000001
6,Min Sum,No-Contraction,0.0,632.4555320336759,33,29,0.3939393939393939
