# drones,matchingModel,contraction,alpha,distance,duration,disconnectedMoments,avg reachability
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1453.0475377708924,72,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1554.2981308053118,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1201.3597738073508,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1418.8410905194671,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1125.1815940661272,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1146.536263319184,58,0,1.0
7,Min Sum,Full-Contraction,1.0,985.202149922369,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,972.1084583322469,62,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1061.3803296635924,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1402.3705967732997,89,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1395.4219057823125,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1146.536263319184,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1242.7428884535107,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1201.3597738073508,60,0,1.0
7,Min Sum,Full-Contraction,1.0,989.6494318525906,62,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1029.251315475104,62,0,1.0
7,Min Sum,Full-Contraction,1.0,1242.7428884535107,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1603.939879251072,80,0,1.0
7,Min Sum,Full-Contraction,1.0,1029.251315475104,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,66,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1146.536263319184,66,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,66,0,1.0
7,Min Sum,Full-Contraction,1.0,1651.2385332379747,96,0,1.0
7,Min Sum,Full-Contraction,1.0,1418.8410905194671,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1350.846422650152,80,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1520.7508690810823,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1172.1084583322468,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1520.7508690810823,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1520.7508690810823,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,66,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,66,0,1.0
7,Min Sum,Full-Contraction,1.0,985.202149922369,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1172.1084583322468,59,0,1.0
7,Min Sum,Full-Contraction,1.0,1418.8410905194671,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,989.6494318525906,62,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1146.536263319184,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,66,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1172.1084583322468,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1092.6381337544867,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1201.3597738073508,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1122.101491087849,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,66,0,1.0
7,Min Sum,Full-Contraction,1.0,1242.7428884535107,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1520.7508690810823,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1688.6474734556623,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1003.4461247121721,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1146.536263319184,62,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1155.6487528120786,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1201.3597738073508,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,80,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,77,0,1.0
7,Min Sum,Full-Contraction,1.0,985.202149922369,54,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,972.1084583322469,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1172.1084583322468,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1122.101491087849,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,68,0,1.0
7,Min Sum,Full-Contraction,1.0,969.7464427701225,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1472.9277453307468,73,0,1.0
7,Min Sum,Full-Contraction,1.0,1092.6381337544867,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,78,0,1.0
7,Min Sum,Full-Contraction,1.0,1350.846422650152,80,0,1.0
7,Min Sum,Full-Contraction,1.0,1242.7428884535107,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1520.7508690810823,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1172.1084583322468,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1242.7428884535107,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1155.6487528120786,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1146.536263319184,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1547.9265181656128,89,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,73,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1201.3597738073508,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1271.4540826846041,78,0,1.0
7,Min Sum,Full-Contraction,1.0,908.925936142427,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1310.3794496679166,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1029.251315475104,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1350.846422650152,80,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1092.6381337544867,67,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,969.7464427701225,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1029.251315475104,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1547.9265181656128,89,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1418.8410905194671,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1201.3597738073508,60,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1104.0551328669685,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1350.846422650152,80,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1079.6243044533958,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1162.019392743347,58,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1357.1485894678885,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,78,0,1.0
7,Min Sum,Full-Contraction,1.0,1165.747633918547,71,0,1.0
7,Min Sum,Full-Contraction,1.0,1368.3958207633557,82,0,1.0
7,Min Sum,Full-Contraction,1.0,1301.204674204392,77,0,1.0
7,Min Sum,Full-Contraction,1.0,1267.6574124801623,76,0,1.0
7,Min Sum,Full-Contraction,1.0,1435.5540168547423,84,0,1.0
7,Min Sum,Full-Contraction,1.0,1386.7836864578244,69,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,67,0,1.0
7,Min Sum,Full-Contraction,1.0,985.202149922369,57,0,1.0
7,Min Sum,Full-Contraction,1.0,1345.7315903554068,68,0,1.0
7,Min Sum,Full-Contraction,1.0,1271.4540826846041,78,0,1.0
