Time,MSLAW (# drones=5),MSLAW (# drones=7),MSLAW (# drones=10),RWP (# drones=5),RWP (# drones=7),RWP (# drones=10)
0,3.9,5.55,6.6,3.95,5.7,7.4
1,3.9,5.3,6.85,3.85,5.55,7.0
2,3.8,5.15,6.45,3.85,5.6,6.75
3,3.9,5.45,6.9,3.9,5.55,6.95
4,3.8,5.7,6.65,3.95,5.4,7.05
5,3.8,5.3,6.95,3.95,5.55,6.9
6,3.8,5.15,6.7,3.9,5.45,7.05
7,3.9,5.3,6.65,3.9,5.5,6.9
8,3.8,5.55,6.8,3.9,5.5,7.3
9,3.8,5.25,7.3,3.85,5.5,7.2
10,3.8,5.5,6.6,3.95,5.35,6.65
11,3.9,5.35,6.6,3.95,5.5,7.25
12,3.9,5.55,6.85,3.9,5.55,6.95
13,3.8,5.3,6.95,3.9,5.5,6.75
14,3.9,5.2,6.6,4.0,5.5,6.95
15,3.9,5.5,6.75,3.95,5.55,6.8
16,3.9,5.4,7.4,3.9,5.5,7.25
17,3.8,5.4,7.1,3.85,5.65,6.85
18,3.8,5.55,6.85,3.85,5.5,7.0
19,3.8,5.6,6.7,3.9,5.55,6.65
20,3.9,5.3,6.8,3.95,5.7,6.8
21,3.9,5.5,6.6,3.95,5.55,7.2
22,3.9,5.35,6.75,3.95,5.6,6.85
23,3.9,5.2,6.85,3.9,5.5,6.75
24,3.9,5.15,6.75,3.95,5.6,6.95
25,3.9,5.3,6.75,3.9,5.6,6.95
26,3.9,5.15,6.9,3.95,5.55,6.7
27,3.9,5.2,7.3,3.95,5.45,7.1
28,3.9,5.3,6.75,3.95,5.65,7.0
29,3.9,5.25,6.8,3.9,5.5,6.9
30,3.9,5.4,6.75,3.9,5.45,6.75
