Time,MSLAW (# drones=5),MSLAW (# drones=7),MSLAW (# drones=10),RWP (# drones=5),RWP (# drones=7),RWP (# drones=10)
0,1.98,2.557142857142856,2.928888888888889,1.9899999999999998,2.583333333333333,3.1755555555555555
1,1.98,2.499999999999999,3.0222222222222217,1.9700000000000002,2.5428571428571423,3.057777777777778
2,1.9600000000000002,2.48095238095238,2.944444444444444,1.9700000000000002,2.5547619047619046,3.0044444444444443
3,1.98,2.5190476190476185,3.108888888888889,1.98,2.5547619047619046,3.0266666666666664
4,1.9600000000000002,2.5999999999999996,3.0055555555555555,1.9899999999999998,2.5214285714285714,3.0444444444444443
5,1.9600000000000002,2.4928571428571424,3.037777777777778,1.9899999999999998,2.55,3.0055555555555555
6,1.9600000000000002,2.4523809523809517,3.0133333333333328,1.98,2.5357142857142856,3.1
7,1.98,2.5166666666666653,3.035555555555556,1.98,2.545238095238095,2.9944444444444445
8,1.9600000000000002,2.557142857142856,3.072222222222222,1.98,2.545238095238095,3.161111111111111
9,1.9600000000000002,2.4904761904761896,3.1988888888888884,1.9700000000000002,2.5452380952380946,3.064444444444444
10,1.9600000000000002,2.5619047619047612,3.0455555555555556,1.9899999999999998,2.5214285714285714,2.976666666666667
11,1.98,2.504761904761904,3.0433333333333334,1.9899999999999998,2.5404761904761903,3.162222222222222
12,1.98,2.5571428571428565,3.0900000000000007,1.98,2.569047619047619,3.0333333333333337
13,1.9600000000000002,2.497619047619047,3.1144444444444446,1.98,2.5428571428571423,3.008888888888889
14,1.98,2.48095238095238,3.0222222222222213,2.0,2.5404761904761903,3.061111111111111
15,1.98,2.5523809523809518,3.0566666666666666,1.9899999999999998,2.5404761904761903,2.9766666666666666
16,1.98,2.5452380952380946,3.1922222222222225,1.98,2.5428571428571423,3.1166666666666663
17,1.9600000000000002,2.5285714285714276,3.0788888888888892,1.9700000000000002,2.5714285714285707,3.0333333333333337
18,1.9600000000000002,2.5666666666666655,3.053333333333333,1.9700000000000002,2.516666666666666,3.1111111111111107
19,1.9600000000000002,2.5619047619047612,3.0300000000000002,1.98,2.545238095238095,2.951111111111111
20,1.98,2.523809523809523,3.1033333333333335,1.9899999999999998,2.5738095238095235,3.025555555555555
21,1.98,2.542857142857142,3.0044444444444443,1.9899999999999998,2.5404761904761903,3.076666666666666
22,1.98,2.5238095238095233,3.082222222222222,1.9899999999999998,2.5452380952380946,3.0366666666666666
23,1.98,2.4904761904761896,3.0855555555555556,1.98,2.5333333333333328,3.0377777777777775
24,1.98,2.485714285714285,3.048888888888888,1.9899999999999998,2.554761904761904,3.0711111111111107
25,1.98,2.4904761904761896,3.0399999999999996,1.98,2.55,3.081111111111111
26,1.98,2.4523809523809517,3.1333333333333337,1.9899999999999998,2.5595238095238093,3.0077777777777777
27,1.98,2.4857142857142853,3.228888888888889,1.9899999999999998,2.533333333333333,3.1077777777777778
28,1.98,2.519047619047618,3.0677777777777777,1.9899999999999998,2.569047619047619,3.0744444444444445
29,1.98,2.4904761904761896,3.062222222222222,1.98,2.55,3.02
30,1.98,2.519047619047618,3.05,1.98,2.514285714285714,2.9888888888888894
